N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2183E0788335U;C;1948;20;83490;Chemin des Hautes Pinèdes;LE MUY;11947
2235E0677644Q;D;1972;5;35000;Rue Charles Bougot;Rennes;11457
2368E1696333H;C;1982;25;68500;Rue des Acacias;Issenheim;11015,6
2176E0734302I;D;1980;;76370;;PETIT CAUX;26859,6
2293E1492443H;D;1945;42 bis;93400;Rue du Landy;Saint-Ouen-sur-Seine;2969,1
2376E1686767R;C;1968;23;76610;Rue Maximilien de Robespierre;LE HAVRE;5273,1
2146E0673770A;F;1947;;46150;;CALAMANE;31949,9
2295E1450492W;C;1982;;95100;Rue Jean Charcot;Argenteuil;3192,9
2393E3479742X;D;1948;7;93130;Allee des Roses;NOISY LE SEC;7402,7
2172E0842672G;B;1957;2;72100;Allée Beethoven;LE MANS;8275,4
2262E3151593O;E;1945;34;62160;Rue de l'Artois;GRENAY;17580,3
2375E2121179U;C;1960;90;75012;Rue de Reuilly;Paris;1188608
2124E0773713D;E;1947;13;24160;Avenue du Docteur Tocheport;EXCIDEUIL;72036,6
2292E2233699C;D;1948;;92500;.;RUEIL-MALMAISON;10936,7
2394E0276553J;E;1963;82;94550;Paul Hochart;Chevilly-Larue;17635,7
2188E0604772W;E;1947;31;88400;Chemin de la Trinité;GÉRARDMER;40380
2295E1448712K;C;1982;;95100;Rue Jean Charcot;Argenteuil;5525,6
2362E0747568C;D;1973;;62680;Immeuble le Blequin;MERICOURT;8323,3
2128E0736291Z;G;1947;1;28140;Rue du Commandant de Troussure;LOIGNY-LA-BATAILLE;55863,9
2231E2538937R;B;2017;2;31400;Rue René Cornement;Toulouse;1563,3
2351E1281448N;D;1948;9;51100;rue Duquenelle;REIMS;15036,9
2141E0567625I;D;1983;17;41310;Rue des Dolmens;HUISSEAU EN BEAUCE;24552,5
2250E1108145Y;E;1979;73;50110;Rue Salvador Allende (Equeurdreville-Hainneville);old Equeurdreville-Hainneville;16283,5
2376E2198468M;C;1933;22;76600;Rue Louis Blanc;LE HAVRE;6270,4
2129E0578554F;C;1948;23;29800;Rue Gambetta;LANDERNEAU;18714,4
2251E2578539P;F;1973;1-3-5-7-9-11-13;51100;d'Oseille;Reims;25121,2
2316E0528093Z;D;1967;1;16800;Rue des Freres Pelissier;Soyaux;12938,3
2169E0727338F;C;2014;91g;69200;Avenue Francis de Pressensé;VÉNISSIEUX;9102
2229E2621655B;C;1991;;29140;Parc Ar Breach;ROSPORDEN;7133,7
2376E1468756Q;C;1948;1;76800;Rue de Bretagne;ST ETIENNE DU ROUVRAY;5310,1
2131E0651222F;E;1972;26;31410;Chemin de Carbonne;LONGAGES;25035,3
2293E3028299R;D;1975;;93140;Avenue Henri Barbusse;BONDY;13970
2391E3928273A;D;1983;33;91830;Avenue Gabrielle d'Estrées;LE COUDRAY-MONTCEAUX;8878,3
2111E0698102N;C;1983;12;11000;Rue Johannes Brahms;CARCASSONNE;13564,7
2276E2890988V;D;1971;80;76620;Rue Bayard;LE HAVRE;10807,7
2316E1147601F;D;1964;27;16110;Boulevard du 8 Mai;LA ROCHEFOUCAULD-EN-ANGOUMOIS;11957,7
2172E0835745V;C;1957;;72100;allée César Franck;LE MANS;4430,3
2295E2503458O;E;1971;;95230;.;SOISY-SOUS-MONTMORENCY;18356
2352E2299217N;F;1973;21;52370;Rue du Grimoret;Maranville;18903,5
2144E0718185F;C;2001;2;44240;Rue Pablo Picasso;LA CHAPELLE-SUR-ERDRE;26696,6
2231E2528021V;G;2017;2;31400;Rue René Cornement;Toulouse;10314,2
2395E1433117Q;C;2013;22;95000;Boulevard de l'Oise;Cergy;2709,5
2176E0610504W;F;1978;11;76320;Impasse de la Petite Place;CAUDEBEC LES ELBEUF;30817,5
2295E3050911L;D;1989;;95430;.;AUVERS-SUR-OISE;17277,2
2344E1773405R;B;2013;5;44190;Impasse des Résédas;SAINT-HILAIRE-DE-CLISSON;3337,9
2106E0841557V;C;1995;15;06150;Impasse des Floribondas;CANNES LA BOCCA;13598,7
2250E1107446B;D;1959;19;50110;Rue du Petit Port;old Equeurdreville-Hainneville;15574,4
2362E0619515Z;D;1945;25;62620;Rue de Vaucouleurs;BARLIN;10052,2
2172E0842722E;B;1957;2;72100;Allée Beethoven;LE MANS;6532,3
2250E0394187A;D;2003;61;50100;Rue de l'Abbaye (Cherbourg-Octeville);old Cherbourg-Octeville;2880,9
2267E3202177H;C;1989;1;67300;Rue de Provence;SCHILTIGHEIM;6765,2
2114E0843133T;G;1948;;14170;;ST PIERRE EN AUGE;36733,9
2277E0180417D;E;1945;3c;77510;Rue des Molinots;REBAIS;29194,9
2330E1766388G;D;1983;;30220;Place du 18 Juin;Aigues-Mortes;11204,6
2144E0974268O;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;13336,4
2210E3192958N;F;1970;25;10600;Avenue Jean Jaures;LA CHAPELLE SAINT LUC;22419,9
2359E3250331C;D;1945;26;59590;Grand-place;Raismes;7116,1
2136E0969168C;E;1948;16;36000;Rue de Provence;CHATEAUROUX;11759,8
2235E2237694O;C;1965;8;35400;Rue le Gentil;SAINT-MALO;6942,3
2328E3188445R;D;1979;5;28190;Village du Bois Phelibon;Courville-sur-Eure;9229
2144E0963994K;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;7614,1
2292E1554816F;C;1961;1;92140;Rue Bossuet;CLAMART;11880,9
2328E0986344M;D;1948;5;28310;Rue Saint Sébastien;oldJanville;6806,5
2144E0963919N;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;5053,3
2244E1125713K;D;1964;7;44700;Allée du Lay;Orvault;11644,6
2335E2035418T;D;1989;1;35500;Clos du Rochelet;MONTREUIL-SOUS-PEROUSE;8444
2144E0951019J;D;1969;15;44430;Route de Saint Barthelemy;Le Loroux-Bottereau;10163
2294E0915876R;E;1945;1bis;94120;Rue du Clos d'Orléans;Fontenay-sous-Bois;9129,1
2250E3212152H;E;1976;1;50260;Rue Albert Proudhon;oldBricquebec;9708,6
2141E0917433M;F;1945;2;41240;La Daviere;SAINT LAURENT DES BOIS;74607
2293E2392713B;D;1948;;93240;.;STAINS;14154,2
2395E0391774Z;C;1989;;95800;Avenue du Terroir;CERGY;11612,4
2167E0920341I;C;1981;3;67140;Chemin du Wolfshaus;HEILIGENSTEIN;12305,7
2244E0249609C;C;1988;3;44100;Rue Meuris;Nantes;6782,7
2362E2763654W;D;1974;5;62800;Rue Arbre Sec;LIEVIN;9908,7
2172E0835521F;C;1957;3;72100;Allée Schubert;LE MANS;5635,7
2275E1860800E;D;1948;125;75015;Rue Castagnary;Paris;8516,4
2325E2204172X;C;1954;5;25000;rue charles gounod;Besançon;4679
2172E0835740Q;C;1957;;72100;allée César Franck;LE MANS;4430,3
2260E1108974F;C;1950;;60300;Rue des Fours à Chaux;Senlis;4725,8
2360E1976128I;C;1972;53;60650;Rue de Gisors;Saint-Aubin-en-Bray;8986,7
2172E0835768S;C;1957;;72100;allée César Franck;LE MANS;4430,3
2277E0430405B;D;1961;2;77380;Rue des Acacias;COMBS-LA-VILLE;14162,3
2316E0514243H;D;1948;2;16800;Rue Romain Rolland;Soyaux;12436,7
2172E0836680U;C;1957;;72100;;LE MANS;5668,5
2220E1431752F;C;1992;;20250;22 Avenue Jean Nicoli;CORTE;3477,3
2362E1321459V;C;1983;;62400;Rue du Docteur Paul Breynaert;BETHUNE;7273,2
2172E0837352Q;C;1957;;72100;;LE MANS;5572,8
2278E2440936F;C;1948;;78190;Square Louis Pergaud;TRAPPES;5473,2
2313E2052652T;C;1970;777;13300;Boulevard des Nations Unies;Salon-de-Provence;3891
2172E0837353R;C;1957;;72100;;LE MANS;5572,8
2295E3015895R;C;1978;2;95140;Rue des Louvres;GARGES-LES-GONESSE;9987,7
2344E0620590Q;D;1948;1;44240;Rue du Maréchal Joffre;LA CHAPELLE SUR ERDRE;22343,2
2172E0837480O;C;1957;;72100;;LE MANS;3882,6
2277E1009567N;C;1987;1;77420;ALLEE DES MARRONNIERS;Champs-sur-Marne;4312,7
2375E0958014R;F;1945;25;75012;Avenue du Général Michel Bizot;Paris;17319,9
2172E0837520C;C;1957;;72100;;LE MANS;3882,6
2230E2126540F;D;1948;;30200;290_6B LES PLATANES / LE SERPENT 10 ALLÉE DES CÈDR;Bagnols-sur-Cèze;10988,3
2337E2658829E;C;1948;3;37170;Rue Raoul Dufy;Chambray-lès-Tours;2982,6
2172E0838342S;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5677,8
2259E2121805F;D;1997;167;59310;Rue Georges Soufflet;BEUVRY LA FORET;25781,5
2351E0574498D;D;1948;15;51100;rue Marteau;REIMS;13270,2
2172E0838352C;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5595,7
2234E2507264P;E;1975;9;34130;Faubourg des Amandiers;Mudaison;16191
2328E3833130G;E;1945;47;28220;La Hennebinerie;CLOYES-SUR-LE-LOIR;24520,3
2125E0838799M;C;1989;7;25480;Rue des Saulniers;MISEREY SALINES;19664,3
2291E1118540I;C;1959;;91200;.;ATHIS-MONS;6650,6
2376E0125357L;D;1963;11;76400;Rue des Provinces;FECAMP;7405,5
2192E0839027V;E;1948;5;92140;Rue d'Alsace;CLAMART;11672,6
2251E1254180S;D;1964;1 au 21;51100;chauvet;Reims;12366
2380E1008658S;D;2000;4;80000;Rue Malakoff;AMIENS;15452,1
2172E0839175T;C;1957;2;72100;Allée Rossini;LE MANS;5341,1
2293E1028136I;C;1961;;93220;;GAGNY;5615,1
2376E3533993V;C;1948;9;76800;Rue de Lozere;ST ETIENNE DU ROUVRAY;10804,2
2172E0831385D;C;1957;4;72100;Allée Georges Bizet;LE MANS;5089,1
2295E0338200K;D;1968;;95160;racine;Montmorency;22586,2
2314E3453897V;E;1965;4;14170;Square Orderic Vital;SAINT-PIERRE-SUR-DIVES;14865,2
2187E0832012V;G;1947;5;87370;Les Retouilleres;JABREILLES LES BORDES;64087,7
2280E1637179O;C;1961;22;80000;Boulevard Carnot;Amiens;4630,2
2377E3136428X;F;1964;80;77420;Avenue de la Morelle;Champs-sur-Marne;22653,3
2160E0832132K;F;1947;14;60870;Rue Joseph Havy;RIEUX;27250,1
2162E1021671L;E;1974;;62160;RESIDENCE LOUIS BLERIOT;GRENAY;15498,6
2335E2810475Q;D;1945;;35500;Place Jean Monnet;LOUVIGNE-DU-DESERT;12635,3
2163E0832442L;E;1947;53;63570;Rue Henri Pourrat;BRASSAC-LES-MINES;30352,3
2251E3008631P;D;1975;135;51100;rue de Courlancy;REIMS;5355,8
2233E3207651N;C;1948;;33130;Chemin Barbedegat;Bègles;6069,9
2141E0820997K;E;1948;9;41370;Rue Augustin Houdin;ST LEONARD EN BEAUCE;18671
2244E1591941G;C;1977;;44470;Rue de la Jumelière;CARQUEFOU;6634,3
2394E0278696U;E;1963;82;94550;Paul Hochart;Chevilly-Larue;16887
2113E0823282F;C;1978;12;13700;Rue Jean Francois la Perouse;MARIGNANE;9458,8
2280E1677534R;C;1948;17;80080;Rue de la Rochefoucauld;Amiens;3952,4
2333E0925012T;C;1989;11;33185;Rue des Meteores;Le haillan;17991,5
2176E0815903V;D;1948;;76630;;BIVILLE-SUR-MER;25918,9
2224E0436988F;C;2002;271;24260;Lieu Dit le Colombet;AUDRIX;21628,8
2351E2432360J;D;1945;72;51100;rue Vercingétorix;REIMS;24509,2
2126E0808228S;D;1948;1;26780;Rue de lâ€™Eglise;ESPELUCHE;23881,2
2128E1030270W;D;1976;13 15 17 19 21;28110;rue de Bruxelles;Lucé;10946,4
2319E2296181M;E;1975;16;19210;Avenue Marcel Chastanet;LUBERSAC;20468,3
2151E0799870F;D;1948;26;51000;Avenue des Grévières;Châlons-en-Champagne;19490,7
2263E0865190A;G;1945;7;63400;avenue Beausite;CHAMALIERES;13452,4
2358E2256223D;C;1989;3;58300;Rue des Sorbiers;Saint-Léger-des-Vignes;16775,7
2159E0798300D;C;1989;10;59330;Rue du Muguet;HAUTMONT;14693
2262E1988008H;D;1970;;62300;RUE FECAMP-GRDE RESIDENCE;LENS;12947,5
2378E0844357J;C;1948;54;78380;Quai Boissy d'Anglas;BOUGIVAL;7406,8
2138E0788808G;C;1996;2;38190;Chemin de la Veyrie;BERNIN;20872,5
2244E1908761Q;C;1975;27a;44450;Rue de Basse Riviere;Saint-Julien-de-Concelles;11937,3
2322E2099044K;C;1945;;22140;Keroule;PRAT;14076,2
2159E0782665U;C;1947;64;59133;Rue du Docteur Eloy;PHALEMPIN;32044,1
2291E1219634O;F;1961;;91200;Rue Gaston Genin;ATHIS-MONS;26650,3
2362E3500649V;D;2010;;;;AUCHY-LES-MINES;9149
2159E0771072X;D;1948;9;59630;Chemin de lâ€™Aven;BOURBOURG;23918,1
2293E0840298U;C;1970;;93140;.;Bondy;8416,5
2250E3213669Q;D;1968;44;50110;Rue Bourvil;Cherbourg-en-Cotentin;10582,4
2183E0773032F;D;1978;;83310;Domaine de la Siouvette;LA MOLE;90411,5
2277E1773819V;D;1990;9bis;77420;Chemin du Ru;CHAMPS-SUR-MARNE;12702,9
2357E2638204R;D;1945;68;57100;Avenue Merlin;THIONVILLE;32035,9
2150E0774369J;E;1947;;50410;;MONTBRAY;23589
2128E1030282I;D;1976;13 15 17 19 21;28110;rue de Bruxelles;Lucé;10581,5
2316E1765400S;D;1989;;16100;Rue des Pierrières;Chateaubernard;9287,4
2186E0775618U;F;1947;5;86460;Rue du Diamant;MAUPRÉVOIR, France;32385,2
2276E0155044F;C;1976;;76350;Rue des Lilas;OISSEL;7846,3
2395E2775931I;F;1978;3d;95420;Rue du Four a Chaux;Magny-en-Vexin;10722,7
2186E0776811R;E;1947;;86290;;ST LEOMER;108110,3
2295E2257489F;C;1986;;95280;des Valanchards;Jouy-le-Moutier;5027,3
2393E1439182V;C;1948;4;93270;Allée Francis Garnier;Sevran;6356
2147E0777762T;C;1901;19;47700;Grand Rue;CASTELJALOUX;40309,1
2295E1688224K;C;1995;;95280;Rue des Pilastres;JOUY-LE-MOUTIER;10587,4
2391E3391553Y;G;1932;;91330;Rue du Viaduc;YERRES;41141,8
2175E0764722H;D;1948;211;75007;Rue de l’Université;PARIS 07;27291,4
2295E0815549Z;C;2006;7;95800;Rue de la Destinée;Cergy;4417,3
2351E3733928R;E;1948;1;51100;rue du Lieutenant Herduin;REIMS;4203,1
2104E0767339F;F;1948;;04500;;MONTAGNAC;44468,6
2294E1595397C;C;1961;9;94500;Rue du Bourbonnais;CHAMPIGNY-SUR-MARNE;12463,7
2383E0779135A;D;1945;23;83300;Rue de la Menudière;DRAGUIGNAN;16947,6
2156E0757615F;G;1947;;56110;;GOURIN;39675,5
2244E1808693W;D;1999;10;44000;Rue Marie Anne du Boccage;NANTES;11780,1
2380E3415192S;F;1986;9;80100;Rue des Drapiers;Abbeville;19233,1
2167E0758452V;F;1948;21;67450;Rue du Climont;MUNDOLSHEIM;42105,3
2250E1340973W;C;1982;53;50110;Rue des Couplets;Cherbourg-en-Cotentin;9742,8
2330E1281476U;C;1948;153;30310;Rue du Mas Liotard;Vergèze;7850,5
2159E0760858B;D;1947;10bis;59530;Rue du Vieux Chemin;Orsinval;18025,4
2221E1504040O;C;1968;5;21470;Rue du 8 Mai 1945;Brazey-en-Plaine;6847,4
2349E3739946B;C;2022;12;49570;Rue Albert-Rene Biotteau (Montjean-sur-Loire);MAUGES-SUR-LOIRE;6033,4
2157E0744140Z;G;1947;32;57970;Rue du Stade;YUTZ;40860,5
2233E1895989Z;C;1995;17;33560;Rue Jean Raymond Guyon;CARBON-BLANC;5940,7
2393E2450836P;B;1948;2;93270;Allée Toulouse Lautrec;SEVRAN;7418,9
2191E0744697S;D;1960;9;91220;Rue des Mélezes;BRÉTIGNY-SUR-ORGE;21111,9
2276E2947223S;D;1960;93;76600;Quai George V;LE HAVRE;10987,6
2367E2409516J;C;1993;7;67300;Rue De Lattre De Tassigny;SCHILTIGHEIM;9618,3
2104E0744699L;G;1948;;04500;;MONTAGNAC;38291,1
2277E0540751D;C;1969;;77520;Saint Augustin;Donnemarie-Dontilly;9989,1
2335E3219437Y;C;2001;25a;35590;Rue Ernest Renan;L'HERMITAGE;6175
2167E0745465I;G;1955;9;67750;Vieux Chemin de Chatenois;SCHERWILLER;38536,6
2295E0743331J;C;1961;2;95400;Rue Auguste Renoir;Villiers-le-Bel;7658,3
2335E3230268N;D;1975;2;35690;Rue des Menuisiers;ACIGNE;12376,6
2101E0749004X;E;1971;14;01600;Lotissement les Erables;ST BERNARD;73735,3
2293E0840517F;C;1970;;93140;.;Bondy;8416,5
2359E1628040H;C;1948;105;59500;Rue de l’Arbre Sec;Douai;5550
2117E0750595S;E;1947;;84450;;PORT D ENVAUX;43277
2284E1912748N;D;1948;85;84800;Avenue Jean Monnet;L'Isle-sur-la-Sorgue;11741,5
2369E1811331I;D;1968;;69190;Rue d'Avignon;SAINT-FONS;188454,9
2171E0739666L;F;1947;1;71800;Route de Vauban;SAINT-LAURENT-EN-BRIONNAIS;51415
2294E0747930F;C;1968;;94430;.;CHENNEVIERES-SUR-MARNE;14674,6
2362E3037303V;D;1980;37;62750;Place de la Rivelaine;LOOS-EN-GOHELLE;9184,2
2171E0740333C;D;1947;59;71118;Rue des Sports;SAINT-MARTIN-BELLE-ROCHE;27111,1
2230E1030710X;D;1961;;30800;10 à 13 BD ALPHONSE DAUDET - BLOC 9;Saint-Gilles;13612
2357E1231702L;D;1945;83;57950;rue de reims;Montigny les Metz;10508,4
2105E0724501Q;E;1947;80;05260;Chemin des Ebrards;CHABOTTES;35315,5
2291E1117413Z;C;1959;;91200;.;ATHIS-MONS;6793,9
2329E0859455E;C;1983;7;29280;cité de Kroas-Saliou;PLOUZANE;6558,9
2146E0722604G;D;1970;;46130;;LOUBRESSAC;14200,3
2292E1226084R;C;1934;;92200;.;NEUILLY-SUR-SEINE;10854,9
2335E3226596H;C;1989;4;35000;Square Le Gal La Salle;RENNES;10840,2
2169E0710476R;C;1997;57;69126;Chemin du Brochaillon;BRINDAS;12229,3
2293E3058753Z;E;1945;45;93340;Avenue de la Résistance;Le Raincy;20925,1
2375E2529219Q;D;1948;125;75015;Rue Castagnary;PARIS;8399
2180E0711391H;F;1948;8;80340;Chaussee Leon Blum;CAPPY, France;31441,5
2275E0250670C;E;1920;77;75006;Rue Notre-Dame des Champs;PARIS;28161,9
2335E3627837Q;C;2006;8;35510;Rue du Petit Marais;MORDELLES;5838,1
2182E0712093J;E;1947;;82150;;MONTAIGU DE QUERCY;67112,9
2224E1091529W;D;1945;;24510;La Moulainerie;LIMEUIL;10372,9
2376E1468718E;D;1948;1;76800;Rue de Bretagne;ST ETIENNE DU ROUVRAY;6940,9
2140E0716476I;F;1947;1466;40170;Route d'Uza;LIT ET MIXE;73035,6
2251E1675631J;C;1961;99;51100;Rue du Chalet;Reims;13300,7
2395E2417529Q;C;1975;63;95320;Rue Jacques Prévert;Saint-Leu-la-Forêt;10064,6
2129E0690578V;E;1948;28;29140;Rue des Glycines;ROSPORDEN;24933,9
2283E2970128Y;D;2020;70;83140;Rue Honoré Bourguignon;Six-Fours-les-Plages;11117,8
2394E1359761F;D;1948;10;94400;Rue Verte;Vitry-sur-Seine;13677
2172E0691708Y;D;1947;32;72530;Rue de Parence;YVRE L EVEQUE;16725,9
2292E0603806X;C;1995;3;92140;Rue Saint Christophe;Clamart;5594,7
2362E1134542S;C;1976;1;62410;Rue Saint Laurent;WINGLES;304406,4
2135E0695695W;C;1989;10;35235;Rue Yves Kerguelen;THORIGNE FOUILLARD;23458
2244E1175393E;C;1964;7;44700;Allée du Lay;Orvault;10958
2375E3086492F;D;1948;247;75019;Rue de Crimée;Paris;5506,6
2156E0703338Q;F;1947;29;56490;Rue du Tertre;LA TRINITE PORHOET;34872
2293E2390314U;E;1948;;93240;.;STAINS;12781,9
2316E1328654U;D;1983;4;16000;Rue Mathilde Mir;Angoulême;9275,5
2147E0704217C;E;1947;10;47170;Place Armand Fallières;Mézin, France;23063,8
2294E0747076J;C;1968;;94430;.;CHENNEVIERES-SUR-MARNE;10783,2
2393E2525586P;C;2013;1;93380;Avenue Emile Zola;Pierrefitte-sur-Seine;2381,5
2185E0706694V;F;1947;;85120;;LA CHAPELLE AUX LYS;38398
2177E1024694H;C;1961;;77360;Square Paul Algis;VAIRES SUR MARNE;7477,6
2333E2786507S;C;1948;;33110;Rue Jacques Prévert;Le bouscat;10075,1
2163E0707961S;G;1947;;63740;;CISTERNES LA FORET;42825,5
2292E2378007K;C;1948;;92200;.;Neuilly-sur-Seine;7816,3
2273E3209220K;E;1932;;73400;Rue Léon Jouhaux;Ugine;19288
2163E0683917Y;G;1948;12;63330;Rue Michel de l’Hospital;PIONSAT;57408,2
2276E2962632J;D;1965;9;76400;Rue du Dauphin;FECAMP;14691,8
2391E3945470L;E;1948;26;91160;Boulevard du Docteur Cathelin;Longjumeau;14504
2121E0684364N;D;1947;35;21260;Rue Basse;Selongey, France;25234,2
2293E2991452M;D;1948;;93350;Avenue de la Division Leclerc;LE BOURGET;12170,1
2344E1916267J;C;2013;164;44200;Route de Clisson;NANTES;3322,8
2159E0688842F;D;1947;76;59187;Rue Casimir Beugnet;DECHY;48559,2
2129E1018790J;D;1983;1;29900;Rue Corot;CONCARNEAU;10877,4
2330E2974656C;C;1948;3;30200;Rue Garidel Alègre;Bagnols-sur-Cèze;8224,3
2162E0677976K;D;1975;15;62138;Rue Emile Basly;AUCHY LES MINES;16580,5
2128E1031000Y;D;1979;35;28110;Rue de Bruxelles;Lucé;11325,4
2335E2549254R;C;1978;20;35500;Espace Debussy;VITRE;7989,5
2145E0669005S;F;1974;100;45000;Rue du Nécotin;ORLEANS;45499,8
2229E2110555J;B;1973;;29900;Rue de Lanriec;CONCARNEAU;4241
2335E3475599I;C;2006;6;35230;Rue de la Mésange Bleue;BOURGBARRE;5604,3
2159E0669427M;D;1947;693;59158;Grande Rue;MAULDE;17096,9
2221E1009921Z;C;2012;17b;21000;Rue Caroline Aigle;Dijon;6176,1
2335E3162615M;D;1948;19;35000;Rue Pierre et Marie Curie;RENNES;7090,7
2138E0670324E;G;1947;65;38870;Rue du Dijon;ST PIERRE DE BRESSIEUX, France;63372,1
2295E1446825V;D;1945;28;95870;Rue des Pointus;BEZONS;9121,2
2335E3236126V;C;1948;1;35200;Square des Hautes Ourmes;RENNES;5450
2144E0670751V;D;1956;425;44150;Avenue du Mortier;SAINT-GÉRÉON, France;9924,7
2292E2233796V;D;1948;;92500;.;RUEIL-MALMAISON;14153,3
2351E2597914V;C;1948;10;51200;Rue d’Auvergne;Epernay;6898,7
2162E0674483B;D;1948;10;62300;Rue Denis Cordonnier;LENS;25061,1
2245E2757748A;D;1999;8;45800;Avenue François Rabelais;Saint-Jean-de-Braye;12633,5
2378E3539125H;C;1983;11;78280;Rue de la Mare de Troux;Guyancourt;9703,3
2121E0661099S;D;1975;2;21140;Rue du 11 Novembre;SEMUR EN AUXOIS;10462,1
2292E3048342N;F;1945;3;92270;Rue Mertens;Bois-Colombes;17304,6
2276E3234738Z;D;1980;;76290;Rue Paul Gauguin;MONTIVILLIERS;16209,8
2181E0663231A;E;1947;;81160;;ARTHES;28931,2
2292E2009631C;C;2006;10;92700;Allee de l’Ile Marante;Colombes;4788,8
2391E1418127Y;C;1948;;91000;Square Diderot;EVRY;8596,5
2162E0664915B;D;1948;1244;62350;Rue dâ€™Aire;ST VENANT;17221,4
2221E2700285Z;C;2022;5;21500;Rue Salvador Allende;Montbard;5017,2
2375E0406989K;E;1945;26;75011;Rue Pétion;Paris;19519,5
2159E0654702D;C;1983;54;59129;Rue du 8 Mai 1945;AVESNES-LES-AUBERT;8733,6
2292E2335895S;E;1948;5;92260;Rue des Roses;FONTENAY AUX ROSES;27635,5
2328E3886239X;C;2017;20;28210;Rue des Frenes;Nogent-le-Roi;7005,4
2177E0658992V;E;1947;3bis;77750;Rue des Nonvalles;ST OUEN SUR MORIN;26216,2
2262E0813232P;D;1979;;62300;RESIDENCE  LES PRES;ELEU-DIT-LEAUWETTE;8878,7
2359E0079830T;C;2014;63b;59120;Rue de l’Echevette;LOOS;5296,8
2193E0660509U;D;1947;45;93110;Rue Edouard Beaulieu;ROSNY SOUS BOIS;37621,8
2244E1252201I;C;1983;2;44640;Place Irène Joliot-Curie;Saint-Jean-de-Boiseau;5608,2
2375E3088383Y;C;1948;159;75018;Rue Championnet;PARIS;3246,6
2154E0653255H;D;1989;2;54500;Allée de Roncevaux;VANDOEUVRE LES NANCY;40676,3
2276E2904885I;D;1961;5;76400;Rue Camille Blanc;FECAMP;8853,9
2378E3542381N;D;1989;34;78370;Rue de France;Plaisir;14516,7
2106E0641121T;G;1948;3;06470;Route de Guillaumes;GUILLAUMES;21109
2242E3170389S;B;1948;;42160;RUE LAMARTINE / RUE RACINE;Andrézieux-Bouthéon;5508,4
2344E2744585T;C;2017;28;44000;Boulevard Eugène Orieux;Nantes;2909,7
2176E0642106I;D;2003;363;76230;Rue de lâ€™Oree du Bois;ISNEAUVILLE;25888
2287E1754391Z;C;1956;;87500;Du 8 mai 1945;Saint-Yrieix-la-Perche;4363,4
2392E0913583L;C;1970;13;92000;rue de l'Union;Nanterre;7781,2
2113E0645092T;F;1947;;13790;Rue de la Bouaou;ROUSSET, France;34631,1
2267E1557991J;D;1945;;67100;Rue Sainte-Cécile;STRASBOURG;8549,1
2362E3323755F;C;1989;;62290;Rue Jean Jaurès;Nœux-les-Mines;6184
2185E0646187Q;E;1948;9;85120;Rue Champ des Pierres;LA CHÂTAIGNERAIE;28430,6
2230E3020198R;F;1945;37;30000;Rue du Murier d'Espagne;Nimes;10848,6
2336E0850226M;D;1956;;;;CHATEAUROUX;10288,7
2168E0647191P;D;1947;27;68000;Rue de la Forge;COLMAR;19624,7
2260E1670347M;B;1965;;60870;Avenue de la Renardiere;VILLERS-SAINT-PAUL;5040,7
2391E2058695E;C;1948;;;;EVRY;10840,8
2164E0634532O;E;1947;481;64210;Avenue Getaria;Guéthary;35246,5
2295E1189770C;C;1971;1;95600;Rue d'Andilly;Eaubonne;635321,6
2393E2582225A;E;1948;110;93430;Route de Saint-leu;Villetaneuse;20413,5
2122E0635053Z;G;1978;;22550;;RUCA;30806,8
2244E1155536L;C;2013;8;44830;Rue Jeanne Barret;Bouaye;6108
2393E2450854H;B;1948;2;93270;Allée Toulouse Lautrec;SEVRAN;7418,9
2156E0637433V;F;1948;7;56220;Bois dâ€™Hellay;LIMERZEL;32410,3
2260E1732476B;E;1971;22;60200;Rue Ferdinand Bac;Compiègne;12091,2
2394E0455247F;B;2013;1;94550;Rue du Clos Saint-michel;Chevilly-Larue;5978,4
2160E0637650I;C;1989;68bis;60790;Rue de Ressons;LE DÉLUGE;18537,3
2235E3184138G;C;1983;;35170;.;BRUZ;11621,9
2376E3348809J;C;1967;;76400;;FECAMP;8422,5
2182E0632349H;E;1978;4;82600;Rue Maurice Genevoix;VERDUN SUR GARONNE;21759,2
2283E2687258I;F;1955;10;83000;Rue Danton;Toulon;6590,1
2393E2317514V;C;2006;14;93390;Allée Etienne Laurent;Clichy-sous-Bois;6258,2
2167E0632727G;D;1948;47a;67130;Rue de la Fontaine;LUTZELHOUSE;28847,4
2291E1527471L;C;1985;;91280;;SAINT-PIERRE-DU-PERRAY;6898,3
2362E1740388M;E;1945;;62530;Rue d’Arras;Hersin-Coupigny;17676,5
2122E0617143D;E;1947;43;22230;Le Bourg;LOSCOUET SUR MEU, France;19280,1
2244E2938721M;C;2017;53;44410;Rue du Moulin des Landes;La Chapelle-des-Marais;4241,6
2213E3232679J;D;1989;;13127;Rue Pierre Puget;Vitrolles;12305,4
